PROJECTID,DESCRIPTION,METHODOLOGY,INDUSTRY,STDAT,ECC,S/4HANA,BTP,RAP,CAP,DATAREPLICATION,BAS,MOBILEDEVLOPMENT,GENAI,NARROWAI,NOPACK,COMPLEXITY,REGION,UI,BE,CNF,FUNAI,UX,TRANSLATION,TESTING,SPRINT0
P0001,SEBnAnVInAnMigration,Agile,Cross,45292,1,0,0,0,0,0,0,0,0,0,1,1,1,18.0000,28,0,7,5,5,19,5
P0002,DeptnAnofnAnCorrections,Agile,Cross,45474,0,1,0,0,0,0,0,0,0,0,1,1,1,23.0000,34,0,9,5,6,24,5
P0003,TCPL,Agile,Cross,45323,0,0,1,0,0,0,0,0,0,0,1,1,1,0.0000,5,20,0,0,1,1,5
P0004,NHnAnFoods,Agile,Cross,45536,0,0,0,1,0,0,0,0,0,0,1,1,1,0.0000,5,15,0,0,1,1,5
P0005,Mitre,Agile,Cross,45292,0,0,0,0,1,0,0,0,0,0,1,1,1,0.0000,5,15,0,0,1,1,5
P0006,SESEIDO,Agile,Cross,45474,0,0,0,0,0,1,0,0,0,0,1,1,1,0.0000,5,23,0,0,1,1,5
P0007,ASIC,Agile,Cross,45323,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0000,5,15,0,0,1,1,5
P0008,ASDA,Agile,Cross,45536,0,0,0,0,0,0,0,1,0,0,1,1,1,28.0000,40,10,11,5,7,29,5
P0009,CBMS,Agile,Cross,45292,0,0,0,0,0,0,0,0,1,0,1,1,1,0.0000,40,0,15,0,5,1,5
P0010,COELS,Agile,Cross,45474,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0000,24,0,18,0,4,1,5
P0011,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,0,0,1,1,1,32.0000,45,0,12,5,8,33,5
P0012,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,0,0,1,1,1,32.0000,45,0,12,5,8,33,5
P0013,BEELINE,Agile,Cross,45323,1,0,1,0,0,0,0,0,0,0,1,1,1,18.0000,28,20,7,5,5,19,5
P0014,BEELINE,Agile,Cross,45323,1,0,0,1,0,0,0,0,0,0,1,1,1,18.0000,28,15,7,5,5,19,5
P0015,BEELINE,Agile,Cross,45323,1,0,0,0,1,0,0,0,0,0,1,1,1,18.0000,28,15,7,5,5,19,5
P0016,BEELINE,Agile,Cross,45323,1,0,0,0,0,1,0,0,0,0,1,1,1,18.0000,29,23,7,5,5,19,5
P0017,BEELINE,Agile,Cross,45323,1,0,0,0,0,0,1,0,0,0,1,1,1,18.0000,28,15,7,5,5,19,5
P0018,BEELINE,Agile,Cross,45323,1,0,0,0,0,0,0,1,0,0,1,1,1,37.0000,52,10,14,5,9,39,5
P0019,BEELINE,Agile,Cross,45323,1,0,0,0,0,0,0,0,1,0,1,1,1,18.0000,79,0,22,5,10,20,5
P0020,BEELINE,Agile,Cross,45323,1,0,0,0,0,0,0,0,0,1,1,1,1,18.0000,56,0,25,5,9,20,5
P0021,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,0,0,1,1,1,32.0000,45,0,12,5,8,33,5
P0022,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,0,0,1,1,1,32.0000,45,0,12,5,8,33,5
P0023,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,0,0,1,1,1,32.0000,45,20,12,5,8,33,5
P0024,BEELINE,Agile,Cross,45323,1,1,0,1,0,0,0,0,0,0,1,1,1,32.0000,45,15,12,5,8,33,5
P0025,BEELINE,Agile,Cross,45323,1,1,0,0,1,0,0,0,0,0,1,1,1,32.0000,45,15,12,5,8,33,5
P0026,BEELINE,Agile,Cross,45323,1,1,0,0,0,1,0,0,0,0,1,1,1,32.0000,46,23,12,5,8,33,5
P0027,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,1,0,0,0,1,1,1,32.0000,45,15,12,5,8,33,5
P0028,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,1,0,0,1,1,1,45.5000,62,10,17,5,11,47,5
P0029,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,1,0,1,1,1,32.0000,108,0,27,5,14,35,10
P0030,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,0,1,1,1,1,32.0000,79,0,30,5,12,34,5
P0031,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,0,0,1,1,1,32.0000,45,20,12,5,8,33,5
P0032,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,0,0,1,1,1,32.0000,45,20,12,5,8,33,5
P0033,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,0,0,1,1,1,32.0000,45,20,12,5,8,33,5
P0034,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,0,1,1,1,32.0000,45,35,12,5,8,33,5
P0035,BEELINE,Agile,Cross,45323,1,1,1,0,1,0,0,0,0,0,1,1,1,32.0000,45,35,12,5,8,33,5
P0036,BEELINE,Agile,Cross,45323,1,1,1,0,0,1,0,0,0,0,1,1,1,32.0000,46,43,12,5,8,33,5
P0037,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,1,0,0,0,1,1,1,32.0000,45,35,12,5,8,33,5
